,식품명,kcal,prt,fat,carb
955,붉은대게,48,10.5,0.3,0.3
956,왕게,67,13.7,0.7,0.6
957,주름송편게,87,18.8,0.3,1.1
958,참게,175,14.4,12,0.2
959,게맛살,119,7.7,1.12,19.45
960,군소,36,5.8,1,0.5
961,불똥꼴뚜기,91,14.4,3,0.6
962,참꼴뚜기,78,13.6,1.8,1
963,낙지,73,16.3,0.43,0
964,세발낙지,55,11.5,0.6,0.1
965,멍게,40,6.7,0.6,1.6
966,문어,70,16.4,0.7,0.1
967,미더덕,44,4.3,1.2,4.1
968,가시발새우,71,15.2,0.5,0.6
969,각시흰새우,85,15.7,1.6,1
970,긴뿔천길새우,92,20,0.8,0
971,꽃새우,114,22,2,0.6
972,닭새우,88,17,1.2,1.3
973,대하,82,18.1,0.6,0.1
974,물렁가시붉은새우,83,18,0.5,0.6
975,보리새우,71,15.1,0.7,0.1
976,부채새우,65,13.7,0.8,0
977,중하,94,20.1,0.9,0.1
978,젓새우,62,9.6,1.2,2.6
979,징거미새우,90,18.3,1.4,0
980,철모새우(도화새우),90,18.5,0.9,0.9
981,펄닭새우,61,13.2,0.6,0
982,흰다리새우,98,21.17,0.89,0
983,새우젓,49,7.97,0.93,1.9
984,성게,148,15.8,8.5,2
985,오징어,94,18.84,1.44,0.16
986,갑오징어,75,15.1,1.2,0.1
987,주꾸미,52,10.8,0.5,0.5
988,크릴,76,12.1,2.6,0.2
989,크릴 페이스트,130,16.5,5.5,2
990,한치,81,14.9,1.8,0.3
991,해삼,24,3.7,0.4,1.3
992,해파리,6,1.3,0,0.1
993,갈래곰보,12,0.9,0.2,4.6
994,곰피,141,12.9,1.3,54.7
995,김,182,38.46,2.82,46.19
996,꼬시래기,17,1.8,0.2,6.2
997,다시마,12,1.1,0.2,4.2
998,다시마 육수,1,0.1,0,0.3
999,다시마 튀각,228,3.6,23,58.8
1000,대황,145,7.3,0.2,64.5
1001,뜸부기,128,6.1,2.5,52.1
1002,매생이,39,3.88,3.29,8.19
1003,모자반,18,1.8,0.2,6.7
1004,미역,12,1.68,0.29,3.7
1005,미역 튀각,283,9.75,38.02,46.21
1006,불등풀가사리,147,16.5,0.6,55.7
1007,석묵,38,9.6,0.2,9.1
1008,순채,22,2.5,0.7,7.1
1009,우뭇가사리,46,4.2,0.2,18.5
1010,우뭇가사리묵(우무),2,0.1,0,0.8
1011,한천,154,2.3,0.1,74.6
1012,진두발,119,2.5,1.5,53.5
1013,청각,8,1.4,0.4,1.6
1014,클로렐라,174,45.3,7.2,25.7
1015,톳,16,1.9,0.4,5
1016,파래,11,2.18,0.15,2.95
1017,모유,61,1.1,3.5,7.2
1018,분유,498,13.98,23.93,56.6
1019,산양유,62,3.16,3.62,4.03
1020,셔벗,128,0.9,1,28.7
1021,아이스밀크,167,3.4,6.4,23.9
1022,아이스크림(딸기맛),192,3.2,8.4,27.6
1023,아이스크림(바닐라맛),179,4.98,7.83,22.25
1024,아이스크림(초콜릿맛),216,3.8,11,28.2
1025,무가당 연유,134,6.81,7.56,10.04
1026,연유,126,5.56,5.73,13.1
1027,요구르트,65,1.29,0.02,15.23
1028,플레인 요구르트,85,3.03,2.96,11.66
1029,우유,65,3.08,3.32,5.53
1030,딸기맛 우유,68,2.29,1.12,12.34
1031,바나나맛 우유,90,2.63,3.02,13.13
1032,초코맛 우유,71,2.61,1.41,12.14
1033,커피맛 우유,61,2.44,1.38,9.82
1034,고칼슘 우유,63,2.98,2.77,6.53
1035,무지방우유,60,6,0,10
1036,저지방우유,42,3.43,0.9,4.86
1037,고다치즈,356,24.94,27.44,2.22
1038,까망베르치즈,300,19.8,24.26,0.46
1039,리코타치즈,159,7.1,11.5,6.7
1040,모차렐라치즈,236,17.34,16.49,3.15
1041,브리치즈,334,20.75,27.68,0.45
1042,브릭치즈,371,23.24,29.68,2.79
1043,블루치즈,353,21.4,28.74,2.34
1044,체다치즈,298,18.76,21.3,6.17
1045,카테지치즈,99,13.3,4.5,1.9
1046,케피어,70,3,1.9,10
1047,크림치즈,350,6.15,34.44,5.52
1048,파마산치즈,420,28.42,27.84,13.91
1049,커피크리머,514,1.57,29.11,62.2
1050,사워크림,193,2.1,20,2.9
1051,버터밀크,40,3.3,0.9,4.8
1052,생크림,368,2.03,37.81,4.98
1053,고추기름,919,0.02,99.8,0
1054,닭기름,900,0,99.8,0
1055,돼지기름,915,0,99.38,0.58
1056,들기름,920,0,99.86,0
1057,땅콩버터,658,25.8,51.91,18.9
1058,땅콩버터청크,589,24.06,49.94,21.57
1059,땅콩버터크림,598,22.21,51.36,22.31
1060,땅콩기름,884,0,100,0
1061,마가린,714,0.2,72.41,12.06
1062,면실유,883,0,100,0
1063,복숭아씨기름,911,0.5,98.9,0.3
1064,쇠기름,869,0.2,99.8,0
1065,쇼트닝,917,0,99.52,0.48
1066,쌀겨기름(미강유),921,0,99.95,0.05
1067,아마씨유,884,0.11,99.98,0
1068,아몬드유,884,0,100,0
1069,아보카도유,917,0,99.52,0.48
1070,연어기름,902,0,100,0
1071,옥수수기름,919,0,99.74,0.17
1072,올리브유,921,0,100,0
1073,유채씨기름,920,0.02,99.85,0.1
1074,잇꽃씨기름,892,0,100,0
1075,참기름,917,0,99.59,0.14
1076,코코넛유,918,0,99.67,0.33
1077,콩기름,915,0,99.31,0.66
1078,팜유,917,0,99.56,0.44
1079,포도씨유,920,0,99.93,0.01
1080,해바라기유,919,0,99.76,0.2
1081,호두유,917,0,99.57,0.39
1082,바닐라 익스트랙,288,0.1,0.1,13
1083,식용유,886,0,100,0
1084,감잎차,335,12.2,2.8,67.5
1085,결명자차,391,19.8,4.9,67
1086,계피차,357,0,1.4,89
1087,구기자차,384,14.6,10.7,57.2
1088,구절초차,345,11.1,1.3,72.1
1089,국화차,358,14.5,2.3,69.9
1090,녹차,388,26.66,2.73,64.17
1091,다래나무순차,1,0.1,0,0.1
1092,대추차,75,0.12,0.44,17.75
1093,도라지차,22,0.3,0,5.1
1094,두충차,354,14.3,3.8,67.9
1095,둥굴레차,1,0,0.01,0.27
1096,민들레차,0,0.01,0,0.05
1097,보리차,0,0,0,0.07
1098,보이차,0,0.12,0,0
1099,사과차,167,0.1,0,41.6
1100,상지차,360,6,2.4,78.6
1101,생강차,353,0.1,0.2,90.7
1102,생강청,246,0.1,0.65,59.9
1103,쌍화차,411,1.64,3.81,92.61
1104,쑥차,338,26.3,0.8,56.4
1105,야콘차,98,0.6,0,24
1106,오미자차,371,16.3,7,60.8
1107,우롱차,0,0,0,0.1
1108,유자청,246,0.2,0.2,62.8
1109,유자차,73,0.03,0.01,18.05
1110,율무차,463,8.57,17.17,68.56
1111,인삼차,397,0.89,0.78,96.52
1112,치커리차,369,7.3,0.2,84.6
1113,카모마일차,1,0,0,0.2
1114,아메리카노(2샷),2,0.02,0.02,0.48
1115,에스프레소,22,0.2,0.22,4.93
1116,커피 가루,1,0.12,0.02,0
1117,커피 원두,4,0.2,0,0.7
1118,코코아,268,22.85,20.06,43.63
1119,헛개 음료,1,0,0,0.26
1120,홍삼차,382,1.3,0.7,95.8
1121,홍삼 음료,40,0.28,0.24,9.27
1122,홍차,2,0.23,0.04,0.26
1123,레모네이드,38,0,0,9.56
1124,매실 음료,44,0.06,0.01,11.02
1125,딸기셰이크,113,3.4,2.8,18.9
1126,바닐라셰이크,148,3.37,6.52,19.59
1127,초콜릿셰이크,119,3.05,2.7,21.15
1128,식혜,32,0.06,0,7.91
1129,쌀 음료,54,0.2,0.8,11.4
1130,이온 음료,37,0,0,9.16
1131,젖산 음료,36,0.21,0.01,8.85
1132,채소 주스,39,0.86,0.05,8.66
1133,레몬소다,44,0,0,10.88
1134,보리소다,47,0,0,11.77
1135,사이다,40,0,0,9.98
1136,소다수,0,0,0,0
1137,오렌지소다,48,0,0,12.08
1138,요구르트소다,47,0,0,11.74
1139,저칼로리콜라,2,0.11,0.03,0.29
1140,진저에일,34,0,0,8.76
1141,콜라,38,0,0,9.46
1142,파인애플소다,45,0,0.1,11.3
1143,포도소다,52,0,0,13.07
1144,혼합 음료,56,0,0.01,13.89
1145,토닉워터,34,0,0,8.8
1146,고량주,355,0,0,0
1147,돌복숭아주,35,0.1,0.6,7.2
1148,드라이진,280,0,0,0.1
1149,럼,237,0,0,0.1
1150,막걸리,54,0.98,0.15,1.56
1151,매실주,155,0.1,0,20.7
1152,맥주,46,0.21,0.01,3.27
1153,흑맥주,45,0.4,0,3.6
1154,보드카,237,0,0,0
1155,복분자주,137,0.12,0,7.49
1156,브랜디,234,0,0,0
1157,샴페인,45,0,0,0.5
1158,소주,127,0,0,0.08
1159,오가피주,107,1.7,0,1.9
1160,위스키,284,0.03,0,0.07
1161,청주,132,0.41,0,4.24
1162,다이키리,125,0,0,15.7
1163,위스키사워,149,0,0.03,13.17
1164,테킬라썬라이즈,110,0.3,0.1,11.3
1165,페퍼민트,300,0,0,37.6
1166,피냐콜라다,237,0.6,7.6,27.6
1167,무스카데,82,0.07,0,5.23
1168,샤르도네,84,0.07,0,2.16
1169,쇼비뇽블랑,81,0.07,0,2.05
1170,레드와인,125,0.1,0,3.84
1171,화이트와인,122,0.1,0,3.82
1172,간장,103,9.15,0,16.54
1173,재래간장,34,5.92,0.03,2.47
1174,블랙빈소스,149,8.5,5.2,15
1175,겨자 페이스트,296,8.01,12.7,37.36
1176,계피,343,3.55,0.51,81.07
1177,스테이크소스,96,3.8,5,10.1
1178,와사비 페이스트,299,29.94,3.45,55.1
1179,고추장,205,3.66,1.38,51.76
1180,고춧가루,319,13.29,8.4,60.62
1181,골든세이지,385,1.6,9.3,73.6
1182,피클링스파이스,29,3.99,0.69,3.78
1183,굴소스,219,2.49,0.05,52.08
1184,깨소금,638,18.1,56.7,13.7
1185,낫토,190,16.5,10,12.1
1186,바질 페스토,607,4,63,6
1187,데리야끼소스,89,5.93,0.02,15.56
1188,된장,193,13.73,7.25,18.94
1189,두반장,100,3,2.5,16
1190,라면 스프,246,17.4,3.1,37.2
1191,라벤다,330,12.6,8.7,63.3
1192,레몬그라스,99,1.82,0.49,25.31
1193,로즈마리,331,4.88,15.22,64.06
1194,다진마늘,170,4.7,0.5,37
1195,마요네즈,682,0.95,72.56,6.39
1196,저칼로리 마요네즈,341,0.89,31.97,12.35
1197,맛술,146,0.3,0.3,35.5
1198,홀그레인 머스타드,264,13,4.2,43
1199,머스타드소스,66,4.4,4,5
1200,미소,187,11.71,6.03,21.84
1201,민트,294,17.5,6.1,56.2
1202,바비큐소스,143,1.38,0.54,33.08
1203,사프란,310,11.43,5.85,65.37
1204,산초,302,9.66,4.01,68.57
1205,사우전드아일랜드 드레싱,287,1,23.23,18.44
1206,이탈리안 드레싱,155,0.33,9.54,16.92
1207,프렌치 드레싱,419,0.87,39.07,18.79
1208,생강 페이스트,41,0.7,0.6,8.6
1209,허브솔트,0,0,0,0
1210,소금,0,0,0,0
1211,소불고기 양념,181,2.17,0.01,42.98
1212,스파게티소스,81,1.52,2.4,13.43
1213,식초,10,1.62,0,0.9
1214,발사믹 식초,88,0.49,0,17.03
1215,배식초,43,0.2,0,10.5
1216,사과식초,11,0,0,2.7
1217,쌀식초,46,0.2,0,7.4
1218,알로에식초,12,0.1,0,3
1219,단촛물,100,0,0,25
1220,양조식초,1,0.02,0,0.34
1221,포도식초,22,0.1,0,1.2
1222,현미식초,17,0.1,0.01,4.18
1223,쌈장,240,9.88,4.81,39.18
1224,오레가노,265,9,4.28,68.92
1225,올스파이스,364,5.6,5.6,75.2
1226,해선장소스,219,3.3,3.4,44
1227,월계수,313,7.61,8.36,74.97
1228,넛맥,520,5.7,38.5,47.5
1229,정향,398,7.2,13.6,66.4
1230,멸치맛 다시다,211,14.12,2.81,32.37
1231,쇠고기맛 다시다,257,5.86,4.09,49.11
1232,아이싱 슈가,417,0,16,68
1233,요리당,77,6.19,0,13.02
1234,짜장분말,335,10,5,62
1235,짜장소스,351,10.51,4.33,67.42
1236,청국장,108,10.2,0.8,14.9
1237,초고추장,211,3.79,1.17,53.78
1238,치킨스톡,95,6,0.7,16
1239,칠리소스,112,1.8,0.1,26.3
1240,칠리,374,15,8.2,60.1
1241,커민,375,17.81,22.27,44.24
1242,강황가루,354,8,10,65
1243,커리파우더,325,13,14,58
1244,카레소스,425,8.38,18.69,55.76
1245,코리아타임,378,1.4,6.2,79.2
1246,타라곤,295,22.77,7.24,50.22
1247,올리고당,24,0,0,7.5
1248,타임,342,6.5,5.2,69.8
1249,템페,192,20.29,10.8,7.64
1250,쯔유,66,2,0,14.6
1251,캔토마토,32,1.6,0.3,7
1252,토마토소스,41,2,0.2,8.5
1253,물강활,289,19.6,2.5,61.6
1254,토마토 케첩,135,1.78,0.08,31.73
1255,마늘즙,45,1.9,0.15,9.9
1256,파슬리가루,292,26.63,5.48,50.64
1257,포크커틀릿소스,133,0.6,0.02,32.54
1258,피쉬소스,34,5,0,3.6
1259,핫소스,47,1.44,0.63,8.8
1260,춘장,177,14,3.7,22
1261,후추,362,12.87,5,66.33
1262,백후추,376,10.1,6.4,70.1
1263,라조기,199,10.3,11.7,13.1
1264,마파두부,114,7.6,6.9,5.4
1265,야끼소바,157,9.13,7.8,13.17
1266,막국수,109,3.8,1.1,20.9
1267,라이스페이퍼,291,9.8,1.5,57.9
1268,잡채,190,5.06,6.78,28.82
1269,고기 만두,208,9.38,6.58,27.79
1270,군만두,274,7,11.7,35.2
1271,김치 만두,187,8.13,6.59,23.82
1272,물만두,131,5.6,5.1,15.6
1273,만둣국,62,3.1,2.5,6.8
1274,하이라이스 고형분,159,5.13,4.75,24.57
1275,미트볼,199,10.2,12.5,13.4
1276,사골육수,10,1.4,0.4,0.3
1277,시판 돈까스,284,22.58,15.3,12.28
1278,엔초비,210,229,10,0
1279,참치액,37,3,0,6
1280,참치캔,180,16,13,0
1281,삼각김밥,166,3.7,1.6,34.1
1282,피쉬스틱,42,7.56,20.16,14.28
1283,스트링치즈,60,4,4.8,1
1284,오감자,166,1,10,18
1285,베이크드빈,151,5.54,5.15,21.39
1286,크림버섯스프,38,0.7,2.6,3.3
1287,갈색 거저리 유충,195,23.19,11,0.83
1288,고로쇠나무 수액,5,0,0.02,1.44
1289,누에 유충,482,50.85,26.53,10.06
1290,번데기,126,12.62,7.55,1.95
1291,단백질 보충제,411,45.71,17.14,18.5
1292,달팽이,75,16.5,1,0.8
1293,대나무,2,0,0.1,0.2
1294,메뚜기,125,24.29,2.26,1.86
1295,삼백초,301,12.1,3.8,67
1296,솔잎,161,4.5,3.9,32.9
1297,송화,340,17.4,8.6,63.2
1298,수세미 수액,4,0.8,0,0.7
1299,쌍별귀뚜라미,130,22.45,0,3.39
1300,백삼,316,15.7,0.5,69.8
1301,수삼,90,4.12,0.76,18.85
1302,홍삼,309,13.02,1.24,68.25
1303,홍삼액,30,0.5,0,7
1304,장수풍뎅이유충,502,44.62,27.21,19.55
1305,치자꽃,66,1.3,0.1,14.9
1306,베이킹파우더,51,0.1,0,24.1
1307,이스트,307,37.1,6.8,43.1
1308,프로폴리스,642,0.5,50.3,46.9
1309,흰점박이 꽃무지유충,122,15.78,5.2,2.9
1310,물,0,0,0,0
1311,발효효소액,11,1,0.5,2
1312,수박 껍질,15,0.3,0.075,3.27
1313,식용 색소,135,0,5.1,24.6
1314,소고기,288,26.33,19.54,0
1315,새우,106,20.31,1.73,0.91
1316,치즈,350,22.21,26.91,4.71
1317,방울토마토,16,0.9,0.1,2.9
1318,버섯,22,3.09,0.34,3.28
1319,호박,26,1,0.1,6.5
1320,야채,17,1.52,0.24,3.2
1321,홍피망,28,1.17,0.09,6.94
1322,청피망,22,0.9,0.04,5.36
1323,양상추,15,1.06,0.1,3.35
1324,미림,205,0,0,32
1325,과메기,177,20.25,9.95,0
1326,소고기패티,271,25.75,17.82,0
1327,올리브,117,0.92,11.27,5.4
1328,귤,47,0.85,0.15,12.02
1329,치킨너겟,297,15.59,18.82,16.32
1330,만두,124,3.3,3.21,20.22
1331,땅콩가루,560,28.43,43.11,24.62
1332,카놀라유,884,0,100,0
1333,오일,884,0,100,0
1334,집된장,180,14,7,15
1335,떡볶이떡,232,3.92,0.29,52.76
1336,타르타르소스,516,1.05,51.32,14.73
1337,밀가루(중력분),365,9,1.9,78
1338,와인,85,0.07,0,2.61
1339,칠면조패티,189,28.55,7.39,0.06
1340,우동다시,79,1.62,2.74,12.38
1341,우동국물,79,1.62,2.74,12.38
1342,포도잼,55,0,0,14
1343,흑임자,342,34.4,10.66,39.56
1344,저염된장,53,5.17,0.08,8.51
1345,울금가루,354,7.83,9.88,64.93
1346,블랙 올리브,105,0.88,9.54,6.06
1347,스냅콩,20,1.15,0.1,4.5
1348,국간장,60,8,0,7
1349,훈제연어,117,18.28,4.32,0
1350,요거트,65,1.29,0.02,15.23
1351,파프리카가루,385,15.5,11.6,55.6
1352,홀스래디쉬소스,325,1,33,7
1353,케이퍼,23,2.36,0.86,4.89
1354,휘핑크림,348,2.07,37.28,2.81
1355,혼합 샐러드 채소,17,1.52,0.24,3.2
1356,코코넛크림,197,2.02,21.33,2.81
1357,생크림 요거트,105,2,6,11
1358,계란,136,12.91,8.25,0.79
1359,계란 흰자,51,11,0.2,0.7
1360,계란 노른자,321,16,27,3.6
1361,다진생강,42,0.97,0.15,9.82
1362,우스타소스,100,1,0,24
1363,우스터소스,100,1,0,24
1364,계피가루,322,4,2,78
1365,비타민,200,1,0.18,49.36
1366,레몬주스,26,0.39,0,8.9
1367,닭고기(가슴) 소시지,130,16,6,3
1368,오트밀가루,382,13.2,8.2,64.9
1369,초코칩 쿠키,489,5.5,24.73,64.06
1370,카옌 파우더,340,12,20,60
1371,비엔나소시지,230,10.5,19.4,2.6
1372,완두,114,7.92,0.44,19.51
1373,프랑크소시지,358,9,34,4
1374,가쓰오부시,340,76.8,2.26,2.34
1375,만두피,245,13,2.8,52
1376,잉글리쉬머핀,227,8.87,1.69,44.17
1377,말린 고추,312,13.88,8.71,57.47
1378,바베큐소스,143,1.38,0.54,33.08
1379,어린잎 채소,15,2,0,2
1380,옐로,149,17.2,5,12.7
1381,파프리카(빨강),26,0.91,0.13,6.42
1382,토마토 페이스트,105,3,0,21
1383,피자소스,90,1,1,19
1384,적양배추,31,1.43,0.16,7.37
1385,얼음,0,0,0,0
1386,양파즙,30,0.66,0.06,7.22
1387,물김치,20,1.12,0.17,4.45
1388,알배추,15,1.25,0.04,3.2
1389,칵테일새우,63,15,1.25,0
1390,돈가스,284,22.58,15.3,12.28
1391,나쵸,531,6,29,62
1392,허니머스타드,285,1,19,27
1393,피클,91,0.38,0.12,25.07
1394,샐러리,14,0.69,0.17,2.97
1395,검은깨,565,20.4,50.7,17.1
1396,케첩,135,1.78,0.08,31.73
1397,빵,266,7.64,3.29,50.61
1398,현미국수,360,7,3,76
1399,견과,617,16.51,56.3,21.58
1400,즉석밥(현미),153,3,0.73,32.83
1401,현미밥,153,3,0.73,32.83
1402,잡곡밥,150,2.83,0.38,33.76
1403,백미밥,152,2.11,0.28,33.59
1404,곤드레,32,3.47,1.38,3.29
1405,두릅,21,2.92,0.48,2.71
1406,전분,330,0.23,0.04,79.16
1407,스트로베리,36,0.8,0.2,8.9
1408,연겨자,360,5,25,29
1409,앙금,267,5.7,4.28,51.4
1410,도라지청,300,0,0,80
1411,우유식빵,335,8,8,57
1412,김밥김,250,31.25,0,31.25
1413,잼,260,0.54,0.14,66.63
1414,배합초,43,0.2,0,10.5
1415,겨자소스,360,5,25,29
1416,쿠키 스프레드,575,5,35,60
1417,김치,38,1.97,0.57,6.24
1418,완두콩,114,7.92,0.44,19.51
