hseq,useq,sex,age,height,weight,meal_type,no_egg,no_milk,no_bean,no_shellfish,no_ingredient,purpose,diet_type,vegetarian,served_date,served_number,fseq,food_name,food_kcal,food_carb,food_prt,food_fat
1,803,f,43,164.0,65.0,lunch,n,n,n,n,없음,all,all,2,Mon May 20 11:22:03 KST 2024,1,413,김치콩나물국,111.85,17.8725,7.8437004,1.9067999
2,803,f,43,164.0,65.0,lunch,n,n,n,n,없음,all,all,2,Mon May 20 11:22:03 KST 2024,1,289,봉골레 스파게티,896.2,141.245,46.907993,13.844
3,359,m,40,162.0,76.0,lunch,n,n,n,n,없음,diet,all,2,Mon May 20 11:22:03 KST 2024,1,259,롤케이크,576.5,138.986,9.557,2.421
4,62,f,33,163.0,60.0,lunch,n,n,n,n,없음,all,all,5,Mon May 20 11:22:03 KST 2024,1,106,아몬드 에너지바,315.8,26.0,7.836,22.588
5,62,f,33,163.0,60.0,lunch,n,n,n,n,없음,all,all,5,Mon May 20 11:22:03 KST 2024,1,321,산마늘(명이나물) 장아찌,1905.0,446.798,49.543,2.207
6,542,m,42,171.0,72.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:04 KST 2024,1,348,감자조림,149.3,21.756,4.138,4.515
7,542,m,42,171.0,72.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:04 KST 2024,1,391,마녀수프,984.0,73.53001,138.15999,17.71
8,947,m,23,168.0,69.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:04 KST 2024,1,110,시금치 섬초무침,272.3,9.343,3.948,24.462
9,947,m,23,168.0,69.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:04 KST 2024,1,58,알리오올리오,1086.1,94.7473,22.7116,67.8552
10,328,m,32,151.0,80.0,lunch,n,n,n,n,없음,diet,all,0,Mon May 20 11:22:04 KST 2024,1,302,두부샐러드,325.8,12.708,19.522003,22.346
11,126,m,34,175.0,71.0,lunch,n,n,y,n,없음,all,all,5,Mon May 20 11:22:04 KST 2024,1,418,오이지,260.0,62.0,16.0,0.0
12,126,m,34,175.0,71.0,lunch,n,n,y,n,없음,all,all,5,Mon May 20 11:22:04 KST 2024,1,384,김치밥,1190.1,195.52202,19.275,33.612
13,430,f,40,165.0,63.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:04 KST 2024,1,333,야채피클,758.55,190.428,5.2795,0.1885
14,430,f,40,165.0,63.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:04 KST 2024,1,544,버섯밥,769.8501,134.97302,17.742,16.474499
15,161,f,51,178.0,62.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:04 KST 2024,1,492,비빔밥부리또,1437.7999,95.618004,87.882996,74.62601
16,156,m,19,175.0,64.0,lunch,n,n,n,n,없음,bulkup,all,5,Mon May 20 11:22:04 KST 2024,1,547,두부무침,923.70996,58.6639,41.581497,59.455803
17,955,m,46,169.0,60.0,lunch,n,n,n,n,없음,bulkup,all,3,Mon May 20 11:22:04 KST 2024,1,585,쌈장열무비빔밥,859.7,74.745,28.997002,47.603996
18,955,m,46,169.0,60.0,lunch,n,n,n,n,없음,bulkup,all,3,Mon May 20 11:22:04 KST 2024,1,328,스토로베리 요거트 아이스캔디,827.60004,159.583,19.678,15.851001
19,933,m,50,165.0,76.0,lunch,n,n,n,n,없음,all,all,4,Mon May 20 11:22:04 KST 2024,1,478,양배추두부조림,859.75,71.939,44.163498,46.134003
20,215,m,41,171.0,72.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:04 KST 2024,1,535,고등어묵은지조림,1768.25,56.5415,177.3255,88.1
21,45,m,40,167.0,56.0,lunch,n,n,n,n,없음,bulkup,all,0,Mon May 20 11:22:05 KST 2024,1,162,깻잎나물,787.14,39.8777,22.220001,62.897
22,123,f,18,168.0,64.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:05 KST 2024,1,308,프렌치 토스트 머핀,2134.6,196.588,71.448,116.769
23,908,f,54,185.0,54.0,lunch,n,n,n,n,없음,bulkup,all,5,Mon May 20 11:22:05 KST 2024,1,544,버섯밥,769.8501,134.97302,17.742,16.474499
24,166,f,15,166.0,56.0,lunch,n,n,n,n,없음,all,all,2,Mon May 20 11:22:05 KST 2024,1,120,아삭이 가지 고추 물김치,728.0,160.586,17.8955,2.431
25,166,f,15,166.0,56.0,lunch,n,n,n,n,없음,all,all,2,Mon May 20 11:22:05 KST 2024,1,480,단팥죽,1167.86,256.9964,24.596,2.4852
26,730,f,18,173.0,59.0,lunch,n,n,n,n,없음,all,all,5,Mon May 20 11:22:05 KST 2024,1,547,두부무침,923.70996,58.6639,41.581497,59.455803
27,632,f,42,161.0,63.0,lunch,n,n,n,n,없음,all,all,2,Mon May 20 11:22:05 KST 2024,1,222,참깨크래커,967.49994,130.746,14.896,40.321
28,805,m,44,157.0,84.0,lunch,n,n,n,n,없음,diet,all,3,Mon May 20 11:22:05 KST 2024,1,181,그릴치즈 샌드위치,86.7,14.345,2.657,2.962
29,258,m,17,170.0,80.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:05 KST 2024,1,226,카라멜 크루통,2376.1,483.42102,49.736004,31.995998
30,369,m,15,181.0,62.0,lunch,n,n,n,n,없음,bulkup,all,0,Mon May 20 11:22:05 KST 2024,1,14,니쿠자가,1124.8999,158.07791,88.2964,14.887699
31,369,m,15,181.0,62.0,lunch,n,n,n,n,없음,bulkup,all,0,Mon May 20 11:22:05 KST 2024,1,26,날치알 떡볶이,1010.59,167.0417,42.7907,19.7848
32,894,f,45,159.0,64.0,lunch,n,n,n,n,없음,diet,all,1,Mon May 20 11:22:05 KST 2024,1,539,감잣국,201.19998,35.162502,11.316,3.15
33,409,f,54,161.0,64.0,lunch,n,n,n,n,없음,all,all,1,Mon May 20 11:22:05 KST 2024,1,129,치킨마요덮밥,1062.2,55.342003,19.499,83.411995
34,978,m,15,176.0,76.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:05 KST 2024,1,10,돼지고기 두반장 볶음,734.15,57.9405,60.760994,28.435003
35,978,m,15,176.0,76.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:05 KST 2024,1,175,해물 스파게티,974.19995,156.59349,45.108494,13.8205
36,524,f,32,167.0,60.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:05 KST 2024,1,488,단호박 크랜배리 샐러드,419.66,30.1971,2.8927,33.482
37,524,f,32,167.0,60.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:05 KST 2024,1,511,우삼겹덮밥,337.51,32.1934,33.882095,8.247001
38,563,f,15,172.0,50.0,lunch,y,n,n,n,없음,bulkup,all,5,Mon May 20 11:22:05 KST 2024,1,162,깻잎나물,787.14,39.8777,22.220001,62.897
39,563,f,15,172.0,50.0,lunch,y,n,n,n,없음,bulkup,all,5,Mon May 20 11:22:05 KST 2024,1,652,알리오올리오라이스,850.6,63.088,8.1645,61.293
40,317,f,41,160.0,61.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:05 KST 2024,1,462,홍합스파게티,1010.0,191.013,52.815998,4.548
41,227,m,41,176.0,71.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:06 KST 2024,1,242,피넛오트밀쉐이크,1473.2,210.523,40.595,51.829998
42,578,f,50,160.0,56.0,lunch,n,n,n,n,없음,all,all,4,Mon May 20 11:22:06 KST 2024,1,141,떡꼬치,5759.58,1286.3313,94.9354,17.103
43,171,m,24,183.0,64.0,lunch,n,n,n,n,없음,bulkup,all,0,Mon May 20 11:22:06 KST 2024,1,521,중화 비빔밥,929.44,101.2861,58.9004,29.7194
44,726,m,51,146.0,70.0,lunch,n,n,n,n,없음,diet,all,0,Mon May 20 11:22:06 KST 2024,1,114,미니핫도그,70.0,8.733001,2.539,2.592
45,153,m,38,178.0,85.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:06 KST 2024,1,129,치킨마요덮밥,1062.2,55.342003,19.499,83.411995
46,791,m,42,182.0,68.0,lunch,n,n,n,n,없음,bulkup,all,0,Mon May 20 11:22:06 KST 2024,1,47,가츠동,1060.79,95.018105,61.513897,47.405495
47,223,m,45,172.0,81.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:06 KST 2024,1,176,우유식빵,1547.73,310.557,62.238003,14.382999
48,977,f,43,167.0,57.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:06 KST 2024,1,128,날치알 달걀 덮밥,681.7,81.35351,26.571003,26.1025
49,58,m,23,167.0,77.0,lunch,n,n,n,n,없음,all,all,3,Mon May 20 11:22:06 KST 2024,1,203,쿠키 버터,1231.0,194.83,26.509998,48.11
50,519,m,25,166.0,69.0,lunch,n,n,n,n,없음,all,all,3,Mon May 20 11:22:06 KST 2024,1,606,수플레오믈렛,322.05002,27.8055,20.717999,13.620001
51,519,m,25,166.0,69.0,lunch,n,n,n,n,없음,all,all,3,Mon May 20 11:22:06 KST 2024,1,358,열무비빔국수,1020.25,165.58699,27.82,27.2505
52,197,f,53,164.0,70.0,lunch,n,n,n,n,없음,diet,all,2,Mon May 20 11:22:06 KST 2024,1,318,쥐포 간장볶음,207.89,19.897799,19.6805,5.357
53,391,f,20,163.0,59.0,lunch,n,n,n,n,없음,all,all,1,Mon May 20 11:22:06 KST 2024,1,620,오트밀 바나나 죽,758.1,134.07701,24.590998,15.932999
54,391,f,20,163.0,59.0,lunch,n,n,n,n,없음,all,all,1,Mon May 20 11:22:06 KST 2024,1,196,비트주스,17.9,4.163,0.407,0.095000006
55,391,f,20,163.0,59.0,lunch,n,n,n,n,없음,all,all,1,Mon May 20 11:22:06 KST 2024,1,465,부추볶음 연어 스테이크,971.63,74.4295,43.803,58.225502
56,695,m,31,160.0,72.0,lunch,n,n,n,n,없음,diet,all,0,Mon May 20 11:22:06 KST 2024,1,177,된장 깻잎 짱아찌,119.9,17.725,7.5965004,1.958
57,481,m,53,183.0,74.0,lunch,n,n,n,n,없음,all,all,5,Mon May 20 11:22:06 KST 2024,1,278,베리스무디,497.0,88.56999,11.59,16.8
58,481,m,53,183.0,74.0,lunch,n,n,n,n,없음,all,all,5,Mon May 20 11:22:06 KST 2024,1,558,병아리콩 샐러드,945.30005,116.765,30.368002,39.026
59,770,f,16,167.0,61.0,lunch,n,n,n,n,없음,all,all,1,Mon May 20 11:22:06 KST 2024,1,611,토마토 미트 파스타,617.60004,99.06149,19.3245,12.665501
60,770,f,16,167.0,61.0,lunch,n,n,n,n,없음,all,all,1,Mon May 20 11:22:06 KST 2024,1,634,도토리묵 무침,790.19995,136.78299,14.966,23.562
61,173,m,35,158.0,77.0,lunch,n,n,n,n,없음,diet,all,0,Mon May 20 11:22:06 KST 2024,1,254,깍두기볶음밥,596.05,91.218,23.709501,15.5655
62,152,m,51,169.0,61.0,lunch,n,n,n,n,없음,bulkup,all,5,Mon May 20 11:22:06 KST 2024,1,544,버섯밥,769.8501,134.97302,17.742,16.474499
63,152,m,51,169.0,61.0,lunch,n,n,n,n,없음,bulkup,all,5,Mon May 20 11:22:06 KST 2024,1,335,아보카도 망고 롤리팝,792.8,140.70299,6.454,29.668997
64,401,m,19,175.0,77.0,lunch,n,n,n,n,없음,all,all,3,Mon May 20 11:22:06 KST 2024,1,23,우유젤리,1391.36,265.70798,34.61,26.409
65,457,f,41,169.0,54.0,lunch,y,n,n,n,없음,all,all,1,Mon May 20 11:22:06 KST 2024,1,260,꽈리고추 멸치볶음,685.8301,50.935005,22.9193,41.671997
66,802,m,36,155.0,79.0,lunch,n,n,n,n,없음,diet,all,0,Mon May 20 11:22:07 KST 2024,1,39,감자 그라탕,500.25,35.1558,23.555498,28.6157
67,310,m,29,171.0,86.0,lunch,n,n,n,n,없음,diet,all,0,Mon May 20 11:22:07 KST 2024,1,128,날치알 달걀 덮밥,681.7,81.35351,26.571003,26.1025
68,376,f,47,173.0,60.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:07 KST 2024,1,256,허니브래드,1666.2001,282.74503,55.657005,36.158997
69,739,m,31,154.0,63.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:07 KST 2024,1,439,곤약구이,870.30005,265.55704,8.997499,10.169
70,739,m,31,154.0,63.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:07 KST 2024,1,400,게살덮밥,852.9001,97.045,31.781498,35.182
71,477,m,16,166.0,65.0,lunch,n,n,n,n,없음,all,all,2,Mon May 20 11:22:07 KST 2024,1,330,쿠키버터머그케이크,552.52,79.784,10.554,20.098
72,477,m,16,166.0,65.0,lunch,n,n,n,n,없음,all,all,2,Mon May 20 11:22:07 KST 2024,1,220,멸치주먹밥,1020.45,123.45451,61.1605,29.322002
73,694,f,46,170.0,65.0,lunch,n,y,n,n,없음,all,all,3,Mon May 20 11:22:07 KST 2024,1,428,오이고추 된장무침,291.47,29.7392,9.1949005,16.7387
74,694,f,46,170.0,65.0,lunch,n,y,n,n,없음,all,all,3,Mon May 20 11:22:07 KST 2024,1,7,오이피클 샌드위치,48.4,11.744,0.687,0.114
75,694,f,46,170.0,65.0,lunch,n,y,n,n,없음,all,all,3,Mon May 20 11:22:07 KST 2024,1,245,스파이시 글레이즈 피칸,1699.56,93.5582,30.370998,145.65039
76,277,f,48,166.0,58.0,lunch,n,n,n,n,없음,all,all,4,Mon May 20 11:22:07 KST 2024,1,319,오이피클,4722.2,1153.2981,19.792002,0.262
77,710,f,19,154.0,59.0,lunch,n,n,n,n,없음,all,all,2,Mon May 20 11:22:07 KST 2024,1,240,호떡,672.39996,88.852,15.707,28.838999
78,478,m,45,171.0,77.0,lunch,n,n,n,n,없음,all,all,5,Mon May 20 11:22:07 KST 2024,1,253,초코강정,1604.25,213.6445,21.698,76.846
79,452,m,43,155.0,62.0,lunch,n,n,n,y,없음,all,all,0,Mon May 20 11:22:07 KST 2024,1,88,치즈밥전,102.1,14.014,5.0509996,2.702
80,452,m,43,155.0,62.0,lunch,n,n,n,y,없음,all,all,0,Mon May 20 11:22:07 KST 2024,1,278,베리스무디,497.0,88.56999,11.59,16.8
81,452,m,43,155.0,62.0,lunch,n,n,n,y,없음,all,all,0,Mon May 20 11:22:07 KST 2024,1,249,대파절이,247.91,31.646702,8.957,11.3398
82,983,f,41,161.0,61.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:07 KST 2024,1,317,함박스테이크,1459.1,60.635,91.479,89.098495
83,419,m,46,175.0,69.0,lunch,n,n,n,n,없음,all,all,2,Mon May 20 11:22:07 KST 2024,1,422,멸치달걀볶음밥,1065.35,105.41701,67.787,37.691998
84,228,f,41,158.0,64.0,lunch,n,n,n,n,없음,diet,all,0,Mon May 20 11:22:07 KST 2024,1,99,햄마요덮밥,411.60004,19.5735,40.4095,19.14
85,703,m,38,166.0,81.0,lunch,n,n,n,n,없음,diet,all,0,Mon May 20 11:22:07 KST 2024,1,250,웨지감자,140.3,3.4550002,3.286,12.859
86,996,m,35,169.0,53.0,lunch,n,n,n,n,없음,bulkup,all,1,Mon May 20 11:22:07 KST 2024,1,172,굴밥,795.89996,161.70601,21.7735,2.895
87,996,m,35,169.0,53.0,lunch,n,n,n,n,없음,bulkup,all,1,Mon May 20 11:22:07 KST 2024,1,629,매콤홍합스튜,800.21,86.3153,48.947098,19.5786
88,749,f,32,159.0,63.0,lunch,n,n,n,n,없음,all,all,1,Mon May 20 11:22:08 KST 2024,1,589,중국식 감자채볶음,81.5,18.595001,2.676,0.085
89,749,f,32,159.0,63.0,lunch,n,n,n,n,없음,all,all,1,Mon May 20 11:22:08 KST 2024,1,497,라면볶이,989.25,132.92259,42.360104,32.333103
90,797,m,25,175.0,66.0,lunch,n,y,n,n,없음,bulkup,all,0,Mon May 20 11:22:08 KST 2024,1,363,타코야키,1024.2001,139.741,46.738,25.702002
91,797,m,25,175.0,66.0,lunch,n,y,n,n,없음,bulkup,all,0,Mon May 20 11:22:08 KST 2024,1,470,미소라멘,1107.7,137.728,47.720505,38.401997
92,689,m,45,175.0,83.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:08 KST 2024,1,221,주먹밥,836.6,92.963,49.304996,26.561
93,203,m,43,179.0,63.0,lunch,n,n,n,n,없음,bulkup,all,4,Mon May 20 11:22:08 KST 2024,1,328,스토로베리 요거트 아이스캔디,827.60004,159.583,19.678,15.851001
94,682,m,50,176.0,80.0,lunch,n,n,n,n,없음,all,all,3,Mon May 20 11:22:08 KST 2024,1,455,만두피 츄러스,329.75,78.6965,6.9,1.5999999
95,682,m,50,176.0,80.0,lunch,n,n,n,n,없음,all,all,3,Mon May 20 11:22:08 KST 2024,1,542,두부강정,473.94998,53.354,33.255497,14.775001
96,872,m,36,178.0,76.0,lunch,n,n,n,n,없음,all,all,2,Mon May 20 11:22:08 KST 2024,1,656,흰쌀밥,549.0,118.11,10.215,1.5749999
97,872,m,36,178.0,76.0,lunch,n,n,n,n,없음,all,all,2,Mon May 20 11:22:08 KST 2024,1,630,버섯무침,262.0,17.519001,9.877,21.301
98,872,m,36,178.0,76.0,lunch,n,n,n,n,없음,all,all,2,Mon May 20 11:22:08 KST 2024,1,134,통밀 바나나 잣 빵,1636.55,253.221,48.980995,46.736
99,716,m,31,161.0,69.0,lunch,n,n,n,n,없음,all,all,5,Mon May 20 11:22:08 KST 2024,1,360,갓김치 비빔국수,1356.9,250.50302,37.561996,18.932
100,753,f,42,175.0,59.0,lunch,n,n,n,n,없음,all,all,1,Mon May 20 11:22:08 KST 2024,1,158,크레이프 케이크,3922.7,390.19098,136.12999,202.33002
101,261,f,40,168.0,61.0,lunch,n,n,n,n,없음,all,all,4,Mon May 20 11:22:08 KST 2024,1,118,잣 크림치즈 곶감말이,309.0,15.249001,8.025,26.365
102,261,f,40,168.0,61.0,lunch,n,n,n,n,없음,all,all,4,Mon May 20 11:22:08 KST 2024,1,45,로제스파게티면,986.53,103.8578,20.021002,56.884197
103,340,m,44,192.0,72.0,lunch,n,n,n,n,없음,bulkup,all,0,Mon May 20 11:22:08 KST 2024,1,376,콩국수,1016.9,135.789,41.163002,32.379997
104,732,f,52,159.0,60.0,lunch,n,n,n,n,없음,all,all,3,Mon May 20 11:22:08 KST 2024,1,545,치즈해시브라운,776.05005,86.5263,36.264297,30.837702
105,43,m,38,165.0,67.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:08 KST 2024,1,366,참치마요 주먹밥,428.80002,53.423504,15.297501,18.3455
106,43,m,38,165.0,67.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:08 KST 2024,1,124,감자볶음,282.4,16.082,24.529,13.898
107,43,m,38,165.0,67.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:08 KST 2024,1,253,초코강정,1604.25,213.6445,21.698,76.846
108,885,m,29,164.0,63.0,lunch,y,n,n,n,없음,all,all,5,Mon May 20 11:22:08 KST 2024,1,625,발사믹드레싱의 그린샐러드,482.51,12.707601,4.1528,45.732
109,885,m,29,164.0,63.0,lunch,y,n,n,n,없음,all,all,5,Mon May 20 11:22:08 KST 2024,1,141,떡꼬치,5759.58,1286.3313,94.9354,17.103
110,623,f,16,158.0,60.0,lunch,n,n,n,n,없음,all,all,2,Mon May 20 11:22:08 KST 2024,1,87,길거리토스트,400.58997,49.9177,21.316,14.182899
111,623,f,16,158.0,60.0,lunch,n,n,n,n,없음,all,all,2,Mon May 20 11:22:08 KST 2024,1,342,곰취장아찌,2148.0,495.88998,55.04,2.45
112,264,f,39,157.0,68.0,lunch,n,n,n,n,없음,diet,all,1,Mon May 20 11:22:08 KST 2024,1,502,발사믹 버섯 샐러드,157.2,34.885498,8.8945,1.198
113,264,f,39,157.0,68.0,lunch,n,n,n,n,없음,diet,all,1,Mon May 20 11:22:08 KST 2024,1,207,또띠아 피자,213.35002,35.131496,8.479,4.62
114,264,f,39,157.0,68.0,lunch,n,n,n,n,없음,diet,all,1,Mon May 20 11:22:08 KST 2024,1,87,길거리토스트,400.58997,49.9177,21.316,14.182899
115,233,m,26,173.0,69.0,lunch,n,n,n,y,없음,all,all,0,Mon May 20 11:22:09 KST 2024,1,325,전자렌지 달걀찜,279.69998,3.2340004,26.565998,16.54
116,233,m,26,173.0,69.0,lunch,n,n,n,y,없음,all,all,0,Mon May 20 11:22:09 KST 2024,1,536,돌솥비빔밥,690.14996,131.2005,23.665,7.341
117,626,m,36,180.0,75.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:09 KST 2024,1,106,아몬드 에너지바,315.8,26.0,7.836,22.588
118,626,m,36,180.0,75.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:09 KST 2024,1,348,감자조림,149.3,21.756,4.138,4.515
119,626,m,36,180.0,75.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:09 KST 2024,1,88,치즈밥전,102.1,14.014,5.0509996,2.702
120,630,f,16,167.0,61.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:09 KST 2024,1,524,두두콩국수,935.7,114.73599,51.156998,27.264002
121,928,f,23,164.0,60.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:09 KST 2024,1,328,스토로베리 요거트 아이스캔디,827.60004,159.583,19.678,15.851001
122,178,m,20,190.0,60.0,lunch,n,n,n,n,없음,bulkup,all,1,Mon May 20 11:22:09 KST 2024,1,263,크림딸기모찌,1055.5,149.71,19.445,43.54
123,178,m,20,190.0,60.0,lunch,n,n,n,n,없음,bulkup,all,1,Mon May 20 11:22:09 KST 2024,1,288,모차렐라치즈 피자,1056.7499,129.8419,42.744003,44.8136
